Engine,Timestamp,ProgramID,Weight,NumEdges,NumSecCov,NumSecCovTotal,NumSecPerProgram,NumSecPerProgramTotal,TotalPrograms,TotalProgramsLower,TotalProgramsGreater,CodeFilePath
GenerativeEngine,2024-10-10 18:19:58,F0DC4A26-4B0A-4583-A5C1-D824CDBC57F5,1.0,14578.0,45.0,377.0,22.0,235.0,1,1,0,
GenerativeEngine,2024-10-10 18:19:58,EDC9C053-E03F-45AF-B655-E682C63453EC,1.0,14578.0,47.0,4987.0,24.0,4845.0,2,2,0,
GenerativeEngine,2024-10-10 18:20:00,A28DE0D8-67F5-4AB2-B33F-AEA82CE0EBA0,1.0,14578.0,49.0,5699.0,2.0,301.0,3,3,0,
GenerativeEngine,2024-10-10 18:20:00,9DF25652-9327-472E-8154-0DC11FC75A52,1.0,14578.0,49.0,5699.0,2.0,301.0,4,4,0,
GenerativeEngine,2024-10-10 18:20:00,63650F69-DAAE-4D01-9A4F-3CBFF8E60C4F,1.0,14578.0,65.0,7163.0,18.0,1765.0,5,5,0,
GenerativeEngine,2024-10-10 18:20:00,5D7ED91E-6793-416E-99EB-A9603A544F36,1.0,14578.0,65.0,7163.0,18.0,1765.0,6,6,0,
GenerativeEngine,2024-10-10 18:20:00,1FA500AC-78A9-4476-902B-434E1E401FC3,1.0,14578.0,71.0,14253.0,24.0,8855.0,7,7,0,
GenerativeEngine,2024-10-10 18:20:00,5B5B10AB-DB2C-4800-9578-284105D1AF57,1.0,14578.0,71.0,14253.0,24.0,8855.0,8,8,0,
GenerativeEngine,2024-10-10 18:20:00,0E8B1C79-D405-4068-A960-BE4C09CE32B5,1.0,14578.0,72.0,15910.0,25.0,10512.0,9,9,0,
GenerativeEngine,2024-10-10 18:20:00,3607D358-4681-4A67-833B-85C186AEDE23,1.0,14578.0,72.0,15910.0,25.0,10512.0,10,10,0,
GenerativeEngine,2024-10-10 18:20:00,769FB17E-B044-4B7B-9CD7-805A28401AE6,1.0,14578.0,88.0,16835.0,41.0,11437.0,11,11,0,
GenerativeEngine,2024-10-10 18:20:00,D97A3FC5-5EBF-4854-AA2E-B96243312472,1.0,14578.0,88.0,16835.0,41.0,11437.0,12,12,0,
GenerativeEngine,2024-10-10 18:20:00,A121A0FF-89D6-475C-9A0C-E4A6A965E947,1.0,14578.0,88.0,17608.0,41.0,12210.0,13,13,0,
GenerativeEngine,2024-10-10 18:20:01,9574450B-689E-4E79-A33D-5DD9DCA2BACF,1.0,14578.0,88.0,19149.0,41.0,13751.0,14,14,0,
GenerativeEngine,2024-10-10 18:20:01,C3FAA814-5F61-4924-A939-51CF5263BE68,1.0,14578.0,88.0,19867.0,41.0,14469.0,15,15,0,
GenerativeEngine,2024-10-10 18:20:01,EFE9D71F-C311-4B81-B500-2B590D56923B,1.0,14578.0,88.0,19867.0,41.0,14469.0,16,16,0,
GenerativeEngine,2024-10-10 18:20:01,CC58E339-2943-4F7F-AC4C-EC94AEED8801,1.0,14578.0,88.0,19867.0,41.0,14469.0,17,17,0,
GenerativeEngine,2024-10-10 18:20:01,73F7B721-F238-4D25-B1CB-EF17E9C088E8,1.0,14578.0,88.0,19867.0,41.0,14469.0,18,18,0,
GenerativeEngine,2024-10-10 18:20:01,FAB3B7F9-6F65-49CB-A303-F4AC4E93A204,1.0,14578.0,88.0,21168.0,41.0,15770.0,19,19,0,
GenerativeEngine,2024-10-10 18:20:01,CE5470E1-2B3C-4251-A1E0-A720056840A8,1.0,14578.0,88.0,21168.0,41.0,15770.0,20,20,0,
GenerativeEngine,2024-10-10 18:20:01,58D8C1FF-37AC-45EA-B6F4-B16454987DBB,1.0,14578.0,88.0,21168.0,41.0,15770.0,21,21,0,
GenerativeEngine,2024-10-10 18:20:01,116B046F-44E7-4B2A-96AF-49D5CC630836,1.0,14578.0,88.0,21168.0,41.0,15770.0,22,22,0,
GenerativeEngine,2024-10-10 18:20:01,DBD3E915-8A1C-41DF-8DC9-0BF35D71D2F3,1.0,14578.0,88.0,21168.0,41.0,15770.0,23,23,0,
GenerativeEngine,2024-10-10 18:20:01,AEF3F0D1-3C21-4181-8C87-636819361A34,1.0,14578.0,88.0,21168.0,41.0,15770.0,24,24,0,
